id;description;label
894283482748;"""ФOPMШMA    Ceлёдкy или cкyмбpия coлю тoлькo caмa,"" ";Кулинария
894339290883;Срочно продам или сдам дом 60кв.  Колхозная 55. Ба ;Торговля и объявления
894344744060;"""С утра я проснулась в дурном настроении,  Мне каже"" ";Семья дом дети
894403152067;Продам 89144819797 ;Торговля и объявления
894451331715;Все же клюнула! ;Развлечения и юмор
894525777788;Участвуй😃 🎄В каком уголке России встречать Новый г ;Торговля и объявления
894536100476;"""СКОРО В ИГРЕ  Ставь лайк 👍🏻, если ждёшь новогодний"" ";Игры
894545890079;Гостиная с угловым диваном ;Увлечения и хобби
894559027971;Идеи использования пластиковых  крышечек в детских ;Семья дом дети
894633023747;"""Кокай 1декабря 2020г КЗ. Нур Султан."" ";Увлечения и хобби
894660161405;Она же хозяев из дома выселит.. ;Развлечения и юмор
894739824927;Новогодние трафареты ;Творчество и дизайн
894757963780;;Развлечения и юмор
894777695007;Дизайн прихожей  ;Творчество и дизайн
894791254787;"""Туманная Демерджи в закатных красках.  #ЛюдиКрыма"" ";Путешествия
894794261252;;Развлечения и юмор
894795954434;;Развлечения и юмор
894833475845;"""Фелиция🌸 ♥     Мегаласковая и очень нежная девчонк"" ";Животные
894849677315;"""В бухте листригонов  #ЛюдиКрыма #ПросторыКрыма #Кр"" ";Путешествия
894851164420;;Развлечения и юмор
894875294211;Уроки программирования и робототехники для детей и ;Торговля и объявления
894901022468;Добрый юмор. ;Развлечения и юмор
894903682052;Японский ретро концепт-кар ;Авто и мото
894919118339;"""Куплю авто до 25000 89514210657"" ";Торговля и объявления
894919803652;"""На постоянной основе куплю💵 радиодетали,транзистор"" ";Торговля и объявления
894992349442;Как вам? ;Мода красота и здоровье
894997958142;;Развлечения и юмор
895013430877;;Философия и религия
895015067331;Mapинoванный лук в банкe: узнaла об этoм рецептe y ;Кулинария
895032721750;"""🔥🔥🔥НОВИНКА🔥🔥🔥 Цена 1000 руб Портативные USB зажига"" ";Торговля и объявления
895034300164;;Развлечения и юмор
895037566071;"""Есть люди, которые  всегда одиноки..   Их можно от"" ";Философия и религия
895055429445;;Развлечения и юмор
895056706046;"""Новогодний «Салат Бычок»  Ингредиенты  картофель –"" ";Кулинария
895082358019;"""Вечернее представление...   Севастополь.  Мыс Херс"" ";Путешествия
895093377790;"""Блинный торт с бананами и киви  Ингредиенты Блины"" ";Кулинария
895098825988;"""двадцать четвертое ребро последний адам все висков"" ";Творчество и дизайн
895114667780;;Развлечения и юмор
895122587652;"""Как жду, малыш, я твоего рожденья - Начала новой э"" ";Мода красота и здоровье
895141474308;;Развлечения и юмор
895144745732;"""Картошечка, которую сложно не попробоватьИнгредиен"" ";Кулинария
895146206403;;Торговля и объявления
895156835653;;Развлечения и юмор
895190342213;;Развлечения и юмор
895193965889;ВЫБЕРИ СВОЙ ПРОМОКОД НА СКИДКУ от Онлайн-гипермарк ;Торговля и объявления
895231198724;Грибные оладушкиИнгредиенты:Нарезанные грибы — 250 ;Кулинария
895259878625;Работа с деревом. ;Творчество и дизайн
895271185221;😂 😂 😂  ;Развлечения и юмор
895271866116;Рябчик императорский ;Увлечения и хобби
895275470078;"""Один маленький секрет жарки рыбы без костей!    Ка"" ";Кулинария
895287597316;Лайфхак на 1-ое января😂🎄 ;Развлечения и юмор
895296999172;;Развлечения и юмор
895305330436;Венгерский гуляш–левешИнгредиенты:Говяжья мякоть — ;Кулинария
895309392644;Когда покупал машину с рулеткой ;Авто и мото
895317388575;"""▶www.tamara-globa.ru◀  #Гороскоп на 22 декабря 💋"" ";СМИ
895331216835;Новогодняя выпечка. Печенье. Топ-6 рецептов. ;Кулинария
895338576415;• *`* •.  • *`* •. ;Развлечения и юмор
895343466238;"""САЛАТ \""НОРВЕЖСКИЙ РОМАН\""🎄 Вы будете его готовить н"" ";Кулинария
895345970436;"""ФАУСТО ПАПЕТТИ               Fausto Papetti – гени"" ";Творчество и дизайн
895365896452;Утка с яблоками ;Кулинария
895368326398;"""Простой рецепт снизит давление. Здоровье. Народная"" ";Кулинария
895388219810;"""Мой? Нет, не мой... Где же мой?"" ";Развлечения и юмор
895403342334;Бык Фёдор. Авторская работа Елены Шевчук.  ;Творчество и дизайн
895417441861;"""А прошел всего лишь год!!! Дай Бог им здоровья!!!"" ";Семья дом дети
895417898756;Красавчег) ;Увлечения и хобби
895431742245;;Развлечения и юмор
895453993982;;Философия и религия
895461662177;"""Как думаете, удобна ли такая система хранения? #ид"" ";Творчество и дизайн
895469854974;"""Хотите радовать детей подарками чаще? 🎁 Это легко!"" ";Творчество и дизайн
895471938435;Продам состояние нового полный комплект цена 6 т.р ;Торговля и объявления
895483957502;"""Мама «одевает» дочь в еду и цветы, и она уже стала"" ";Семья дом дети
895502671363;"""Такой невероятный и любимый, Крым сейчас такой.  Я"" ";Путешествия
895505983550;;Развлечения и юмор
895510765955;Продам 89146188974 ;Торговля и объявления
895524579615;"""Салат «Козел в огороде» 🍀🔶 Продукты (на 8 порций)"" ";Кулинария
895525396227;"""Даааа это точнооо так бывает и частоо....  © Капел"" ";Развлечения и юмор
895531611267;Услуги репетитора английского языка - 2-8 классы. ;Торговля и объявления
895539063583;Детская комната  ;Творчество и дизайн
895540963715;Ещё один день. Ещё одна возможность стать счастлив ;Развлечения и юмор
895609870367;"""Дети взрослеют, становятся старше,  К груди их сво"" ";Семья дом дети
895612232479;https://www.instagram.com/bulanova_music/ ;Музыка
895612877637;Спят сладусики) ;Семья дом дети
895622766142;Летящей походкой... ;Развлечения и юмор
895633999876;;Развлечения и юмор
895650104351;🏆 «Русское Радио» – двукратный лауреат премии «Рад ;СМИ
895650374562;;Развлечения и юмор
895653986622;Бууууу! ;Развлечения и юмор
895665896317;Новосибирск и область. Милая и обаятельная девочка ;Животные
895668913859;;Развлечения и юмор
895676922878;С детьми скучно не бывает ;Развлечения и юмор
895680640260;"""Рулетики из баклажанов с помидорами Ингредиенты: Б"" ";Кулинария
895681292548;"""Картофель Сен-Флорентен Ингредиенты: -Картофель —"" ";Кулинария
895683886111;"""Мантокурзе или курземанты🔶 Для теста:  🥟 300мл.вод"" ";Кулинария
895684220191;Как лепить манты розочки быстро и без проблем? 😉 ;Кулинария
895686935877;;Развлечения и юмор
895696316734;"""Style and Decor ак крacиво oбыгрaть угoл"" ";Семья дом дети
895700377631;Квартира студия  ;Творчество и дизайн
895710462974;"""Что посмотреть в Калязине?  - Калязинская Колоколь"" ";Культура и искусство
895724720504;;Развлечения и юмор
895735407043;Продам! В использовании был пару раз! ;Торговля и объявления
895746013445;"""Рагу овощное с курицей"" ";Кулинария
895768952351;🏆XXV Церемония вручения национальной музыкальной П ;СМИ
895775545861;"""Быстрые сырные пирожки  ИНГРЕДИЕНТЫ  кефир – 200 м"" ";Кулинария
895779023391;Ванная комната  ;Творчество и дизайн
895787744260;;Увлечения и хобби
895792743429;"""7 лучших закусок на Новый Год  1. Рулетики из лосо"" ";Кулинария
895794342660;;Развлечения и юмор
895802311973;;Животные
895808441119;"""⛸️Вся семья на коньках!  ❤️ Фигуристы Алексей Ягуд"" ";СМИ
895812643779;"""Продам ноутбук Lenovo B 560 Четырёх ядерный процес"" ";Торговля и объявления
895822901506;Полезно знать‼ ;Мода красота и здоровье
895824015235;"""Aзбyкa peмoнтa | Cтpoитeльcтвo  3a oкнoм yжe бpppp"" ";Семья дом дети
895830461700;"""Какие стихи писали бы классики во время пандемии?"" ";Творчество и дизайн
895846494851;Световое шоу на Дворцовой площади в честь дня рожд ;Путешествия
895865108511;"""ужики, cкoлькo дaдитe oт 0 дo 10?"" ";Авто и мото
895869707326;Попросили посидеть с детьми😆 ;Развлечения и юмор
895878671102;"""Приветствуем игроков и участников группы!   Как мн"" ";Игры
895882982431;Это что то новенькое! необычная закуска из обычной ;Кулинария
895883336964;;Развлечения и юмор
895920742974;Мочалку потерял ;Развлечения и юмор
895926805023;Дизайн прихожей  ;Увлечения и хобби
895945374724;;Развлечения и юмор
895947118340;"""Улыбаться всегда проще, чем объяснять, почему грус"" ";Животные
895949770332;"""Как это ты устала?  Ты же дома сидишь! "" ";Семья дом дети
895952957956;;Философия и религия
895954801283;;Торговля и объявления
895979021090;Вот это страсть! Вот это танец! ;Развлечения и юмор
895981884679;;Философия и религия
895986720451;Отдам за вкусняшки!!!т.89025137027.в любое время. ;Торговля и объявления
895999797250;Вот это красота!..лето хочу! ;Увлечения и хобби
896000420127;"""Здоровья, мира и счастья вам!  Наконец то загружаю"" ";Кулинария
896019009598;Рыжее солнышко любуется осенним солнышком))) ;Развлечения и юмор
896034772867;"""Трава, гарантированно восстанавливающая поджелудоч"" ";Мода красота и здоровье
896041296515;Заболевания опорно-двигательного аппарата требуют ;Мода красота и здоровье
896046500639;"""Блин какие классные блиныы😋 Рецепт блинов (если ва"" ";Кулинария
896059381699;"""Суперские рулетики из кабачков с куриным мясом.М"" ";Кулинария
896061740606;Двое из ларца! ;Развлечения и юмор
896066446531;"""Продам новое платье для девочки, размер 30 за 300"" ";Торговля и объявления
896071718019;Просто шедевр за шедевром мне присылают девочки 🌲🌲 ;Увлечения и хобби
896082480003;"""​​Сельдь по-русски с горячим картофелем  Необходим"" ";Кулинария
896088194435;"""БАБУШКИНА РАСТИРКА    Моя бабушка в 82 года поняти"" ";Кулинария
896096526654;Котята породы Кинкалоу . ;Животные
896096662590;СПОКОЙНОЙ НОЧИ❤ ;Семья дом дети
896100162335;"""😍Зимняя сказка тех, кто влюблен!  ❄️Романтика Джиг"" ";СМИ
896100484356;Три малыша 🤗🤗🤗 Три крепыша 💪💪💪 ;Развлечения и юмор
896101084252;? ;Семья дом дети
896125230597;"""Мамы такие мамы 😂  Смотри новую серию «Родком» сег"" ";СМИ
896128661187;"""Новые зимние штанишки, р-р 110, 300р."" ";Торговля и объявления
896130208870;;Увлечения и хобби
896158306622;"""Жарил сегодня рыбу-гриль на своем участке... Краем"" ";Развлечения и юмор
896161189571;Отдам ;Торговля и объявления
896168247235;;Торговля и объявления
896179514499;"""Дoм из пpoфилиpoваннoгo бpуca, oбщaя плoщaдь дoмa:"" ";Семья дом дети
896182335775;Столовая зона  ;Творчество и дизайн
896193375263;🌟 Специальные гости Церемонии «Золотой Граммофон» ;СМИ
896196954563;;Развлечения и юмор
896202436389;Красотки зажигают на сцене! Очень горячий танец! ;Развлечения и юмор
896217165855;Интерьер спальни  ;Творчество и дизайн
896220835430;"""Думали, только котики так умеют?"" ";СМИ
896230336195;"""Продам 1) тёплую зимнию куртку на девочку, длина р"" ";Торговля и объявления
896235462917;📱 Ознакомьтесь с собранием Тульского музея изобраз ;Культура и искусство
896243886149;Заказывала костюм как на видео снизу. Костюм шикар ;Творчество и дизайн
896247926303;;Развлечения и юмор
896261416991;"""Лучшее лекарство оно такое! Хотя, если учесть сост"" ";Семья дом дети
896261977637;.. зимняя сказка.. 📌 ;Творчество и дизайн
896272170015;"""Сахарные булочки. Пошаговый рецепт"" ";Кулинария
896285001155;;Торговля и объявления
896315131293;"""Проектор \""Звездный Дождь\"" в наличии. Усыпьте ваш д"" ";Увлечения и хобби
896319367811;;Мода красота и здоровье
896328541727;Отличный домик ;Увлечения и хобби
896366566851;кимоно и принадлежности ;Торговля и объявления
896375407965;Скуби-ду тракторист ;Авто и мото
896395592643;Продам ;Торговля и объявления
896406243779;Стол компьютерный ;Торговля и объявления
896407613215;Королевский торт без муки.  ;Кулинария
896413552771;Прекрасная плитка) у меня такая на кухне ;Творчество и дизайн
896414723715;"""Красная икра!! Посол 2020! Фасовка 0.5 и 1кг Беспл"" ";Торговля и объявления
896419770143;"""▶www.tamara-globa.ru◀#Гороскоп на 24 декабря 😎"" ";СМИ
896433685314;;Философия и религия
896435248220;Ради неё я просыпаюсь утром и преодолеваю все труд ;Семья дом дети
896442873861;Для красивого образа на Новый год нужен праздничны ;СМИ
896444670556;"""Штрафы ГИБДД: всё о скидке 50%  Большинство людей"" ";Авто и мото
896453901122;;Философия и религия
896456670274;"""Яркий город Бурано, Италия."" ";Путешествия
896459272735;"""😍 Дима Билан, с днём рождения!  🎉 Пусть этот день"" ";СМИ
896459633951;"""КАК ВЫБРАТЬ МЕЖКОМНАТНЫЕ ДВЕРИ❓⠀ ⠀ Подбор идеальны"" ";Творчество и дизайн
896467851459;;Развлечения и юмор
896472526787;Непредсказумые ситуации во время прямого эфира ;Развлечения и юмор
896490725222;#умныемысли_womanru #цитаты_womanru ;СМИ
896507372319;"""Мой рецепт  торта *Нежный Наполеон*     Так уж пов"" ";Кулинария
896508227359;"""😍Телеведущая Елена Летучая с родителями. 😇На кого"" ";СМИ
896511009987;Безупречные работы под макро-объективом ;Творчество и дизайн
896518853501;"""ПОЛЕЗНЫЕ СВОЙСТВА КОРИЦЫ АРТРИТ:   Страдающие артр"" ";Кулинария
896524071619;Гениально ;Развлечения и юмор
896528517698;Как снять видеоролик о любимом городе России и пол ;Путешествия
896533180993;Буханыч ;Авто и мото
896534249308;Просто и со вкусом! ;Увлечения и хобби
896566098115;"""Медведь 300 Сумка 400"" ";Торговля и объявления
896566981151;"""Торт аля-баунти 😋  Очень вкусный торт, который по"" ";Кулинария
896578356419;ГРУЗОПЕРЕВОЗКИ В ЛЮБОЕ ВРЕМЯ ПО ГОРОДУ И РАЙОНУ. П ;Торговля и объявления
896596782085;;Философия и религия
896598775617;Как вам? ;Авто и мото
896601398047;"""⚡2 дня до Нового года!  🌲А вы собираете коллекцию"" ";СМИ
896604260803;Крутые работы мастера из Иркутска ;Творчество и дизайн
896608901571;"""ВСЕХ С НАСТУПАЮЩИМ🤩🎆🎆🎆СРОЧНЫЙ ПРИСТРОЙ❗️❗️❗️36 и"" ";Торговля и объявления
896609278501;НОРМЫ РАЗВИТИЯ РЕЧИ. СХЕМЫ-ПАМЯТКИ ;Семья дом дети
896618528096;"""Такого смешного выступления \""Виа Гра\"" вы еще не ви"" ";Развлечения и юмор
896620182368;;Развлечения и юмор
896635431746;"""\""Дай я тебя хоть согрею, горе ты моё лысое...\"" 😻"" ";Развлечения и юмор
896676474208;"""Скупка Компьютеров,Ноутбуков!Расчет   сразу,высока"" ";Торговля и объявления
896676667970;Обмен на 2 баночки пюре с 4х до 6ти месяцев или ка ;Торговля и объявления
896682425477;;Животные
896689475077;Гала-концерт Всероссийского фестиваля «Салют Побед ;Государственная организация
896698750333;мтс 0957367271-Viber: WhatsApp- +;Торговля и объявления
896719756227;;Развлечения и юмор
896754646880;КОРПУСНАЯ МЕБЕЛЬ НА ЗАКАЗ !!!!! СРОК +КАЧЕСТВО ГАР ;Торговля и объявления
896754818565;;Торговля и объявления
896755500413;"""Продукция от компании Гринвей. Скоро НГ, я смогу с"" ";Торговля и объявления
896766562141;Экономист спрогнозировал курс рубля до конца 2020 ;СМИ
896768389957;🐾🐾🐾 Люблю животных 🐾🐾🐾 ;Животные
896773978461;Избранный президент Молдавии Майя Санду не признал ;СМИ
896775395845;"""...    ТОП ВКУСНЕЙШИХ БЛЮД НА НОВЫЙ ГОД!  1. Куриц"" ";Кулинария
896776755805;"""🥀Не стало Ирины Антоновой, президента ГМИИ имени П"" ";СМИ
896786529794;"""Тюмень ♥ ДК \""Строитель\"" 1998 год 👀  Ул. Республики"" ";Увлечения и хобби
896792991558;"""Собственных добрых дел у меня нет, всё моё доброе"" ";Философия и религия
896794693637;"""...    9 РЕЦЕПТОВ КРАСИВЫХ САЛАТОВ К НОВОМУ ГОДУ 🎅"" ";Кулинария
896797778557;"""Шотландия Ph: Jack Anstey"" ";Путешествия
896800591712;В Великобритании назвали дату появления нового шта ;СМИ
896802953477;Красивые платья ;Мода красота и здоровье
896816663648;;Развлечения и юмор
896816853762;Кто это тут у нас такой пушистый? Манулы из Новоси ;СМИ
896827601415;"""Фантастические блины дрожжевые на молоке  Надо взя"" ";Кулинария
896841068902;;Животные
896846077280;;Развлечения и юмор
896851165277;Генеральный секретарь НАТО Йенс Столтенберг обвини ;СМИ
896853058653;"""Курица в пакете или домашняя ветчина в желе  Нежна"" ";Кулинария
896856811613;;Животные
896861073730;Закат на Бора Бора ;Путешествия
896863504705;продам тел.89501032552 ;Торговля и объявления
896866312450;Работу закончил. Как Вам....... ;Развлечения и юмор
896874042626;Модель Victoria’s Secret Роми Стрейд впервые стала ;СМИ
896886258439;Все огородники хотят получать огромный урожай овощ ;Увлечения и хобби
896893062663;Довольно многие садоводы заводят на своих приусаде ;Увлечения и хобби
896902171138;Кухня столовая  ;Увлечения и хобби
896920020573;"""Владимир Путин поздравил актрису театра и кино, на"" ";СМИ
896924885085;Мошенник вымогал 30 миллионов рублей у жены аресто ;СМИ
896927257217;Кардиомагнл или ТромбоАСС https://www.youtube.com/ ;Торговля и объявления
896930238533;Аминь🙏 ;Семья дом дети
896932038434;"""Шумейка, Энгельсский район Фото: kirinaaeee"" ";Путешествия
896938185565;Что можно и категорически нельзя делать 6 декабря ;СМИ
896940073584;Чугунные батареи по 7секций 8-914-807-07-55 ;Торговля и объявления
896951723042;"""КудЫм-Ош — легендарный богатырь, культурный герой,"" ";Путешествия
896957265377;"""Жизнь без полос, так не бывает... Одно хочу лишь В"" ";Философия и религия
896963747847;Саморазвитие в опросах 😃 ;Образование
896964621063;"""Так хочется, чтобы этой зимой, у каждого из нас в"" ";Культура и искусство
896967618850;"""А этот дом на улице Грибоедова, 20, по местному пр"" ";Путешествия
896969221922;"""Топ-10 невероятно смешных моментов, произошедших в"" ";Развлечения и юмор
896983001725;Надо тоже попробовать. ;Развлечения и юмор
896989306973;🍺 Эксперты назвали самые пьющие и курящие регионы ;СМИ
896989843549;Блогера Reeflay после смерти подруги отправят на п ;СМИ
896991247618;"""Похоже, в отношениях супругов опять наступила гарм"" ";СМИ
896992477341;😌Очень верные слова! ;Философия и религия
896992547874;"""Чесночная шелуха продлевает молодость.  Белую шелу"" ";Мода красота и здоровье
897004212061;ХРАБРАЯ ОХОТНИЦА ) ;Животные
897016194626;За лентой не слежу. 89027678188 ;Торговля и объявления
897024372573;"""ТОП-7 болезней, стремительно убивающих мужчин в ра"" ";СМИ
897029211741;;Торговля и объявления
897044748290;Дарья Мельникова поздравила младшего сына Марка с ;СМИ
897060237575;"""Пpoдукты, помогающие разжижению крови    1. Помидо"" ";Кулинария
897069045826;В Великобритании совершенно случайно сделали фото ;Наука
897070051362;"""Собака - друг человека, а кот - друг нашей души..."" ";Животные
897078200354;Белая мечеть Булгар - культовое здание в Казани ;Путешествия
897078404162;"""Для томатов обычно выбирают солнечные места, защищ"" ";Увлечения и хобби
897088068386;Камчатка ;Путешествия
897096935458;😈 ;Авто и мото
897101494850;"""Про переписывание истории и героизацию нацизма.  \"""" ";СМИ
897102609186;"""Присоединяйся ►►► http://ok.ru/silaavto ◄◄◄, что б"" ";Авто и мото
897103582983;"""📌4 Самых вкусных рецепта рассольника  🔸Рецепт Расс"" ";Кулинария
897117307485;Завещания нет: за наследство Диего Марадоны борютс ;СМИ
897122129121;;Развлечения и юмор
897122196193;;Развлечения и юмор
897128989506;За сутки в России подтверждено 28 552 случая COVID ;СМИ
897130668001;;Развлечения и юмор
897131485986;"""Присоединяйся ►►► http://ok.ru/silaavto ◄◄◄, что б"" ";Авто и мото
897132777794;............ ;Развлечения и юмор
897146192903;"""Запеченная семга с сыром  Ингредиенты: - семга - о"" ";Кулинария
897148272428;#Гифки ;Животные
897160547677;Названа оптимальная доза шампанского на Новый годВ ;СМИ
897163510078;Одуван ;Развлечения и юмор
897166345479;Вот уже несколько лет подряд зимой я выращиваю на ;Увлечения и хобби
897176388577;;Философия и религия
897177061223;"""» Трайфл с бананами и кофе.  Ингредиенты:  (~ на 4"" ";Кулинария
897177589255;;Животные
897182741085;Кто является главным претендентом на наследство Ва ;СМИ
897186233949;Умар Кремлев покинет пост генерального секретаря Ф ;СМИ
897205167708;Мечта детства! ;Авто и мото
897208887330;Фото: Вадим Hansg ;Путешествия
897211610887;;Животные
